Mes,Articulos,Comunicados,Entrevistas,Presencia en medios
Enero,1,13,24,125
Febrero,1,13,34,211
Marzo,3,15,35,162
Abril,0,12,14,113
Mayo,2,4,6,111
Junio,2,4,6,160
Totales,9,61,107,882
